left.weight,left.distance,right.weight,right.distance,class
3.0,3.0,3.0,1.0,minority
3.0,3.0,3.0,2.0,minority
3.0,3.0,3.0,3.0,majority
3.0,3.0,3.0,4.0,majority
3.0,3.0,3.0,5.0,majority
3.0,3.0,4.0,1.0,minority
3.0,3.0,4.0,2.0,minority
3.0,3.0,4.0,3.0,majority
3.0,3.0,4.0,4.0,majority
3.0,3.0,4.0,5.0,majority
3.0,3.0,5.0,1.0,minority
3.0,3.0,5.0,2.0,majority
3.0,3.0,5.0,3.0,majority
3.0,3.0,5.0,4.0,majority
3.0,3.0,5.0,5.0,majority
3.0,4.0,1.0,1.0,minority
3.0,4.0,1.0,2.0,minority
3.0,4.0,1.0,3.0,minority
3.0,4.0,1.0,4.0,minority
3.0,4.0,1.0,5.0,minority
3.0,4.0,2.0,1.0,minority
3.0,4.0,2.0,2.0,minority
3.0,4.0,2.0,3.0,minority
3.0,4.0,2.0,4.0,minority
3.0,4.0,2.0,5.0,minority
3.0,4.0,3.0,1.0,minority
3.0,4.0,3.0,2.0,minority
3.0,4.0,3.0,3.0,minority
3.0,4.0,3.0,4.0,majority
3.0,4.0,3.0,5.0,majority
3.0,4.0,4.0,1.0,minority
3.0,4.0,4.0,2.0,minority
3.0,4.0,4.0,3.0,majority
3.0,4.0,4.0,4.0,majority
3.0,4.0,4.0,5.0,majority
3.0,4.0,5.0,1.0,minority
3.0,4.0,5.0,2.0,minority
3.0,4.0,5.0,3.0,majority
3.0,4.0,5.0,4.0,majority
3.0,4.0,5.0,5.0,majority
3.0,5.0,1.0,1.0,minority
3.0,5.0,1.0,2.0,minority
3.0,5.0,1.0,3.0,minority
3.0,5.0,1.0,4.0,minority
3.0,5.0,1.0,5.0,minority
3.0,5.0,2.0,1.0,minority
3.0,5.0,2.0,2.0,minority
3.0,5.0,2.0,3.0,minority
3.0,5.0,2.0,4.0,minority
3.0,5.0,2.0,5.0,minority
3.0,5.0,3.0,1.0,minority
3.0,5.0,3.0,2.0,minority
3.0,5.0,3.0,3.0,minority
3.0,5.0,3.0,4.0,minority
3.0,5.0,3.0,5.0,majority
3.0,5.0,4.0,1.0,minority
3.0,5.0,4.0,2.0,minority
3.0,5.0,4.0,3.0,minority
3.0,5.0,4.0,4.0,majority
3.0,5.0,4.0,5.0,majority
3.0,5.0,5.0,1.0,minority
3.0,5.0,5.0,2.0,minority
3.0,5.0,5.0,3.0,majority
3.0,5.0,5.0,4.0,majority
3.0,5.0,5.0,5.0,majority
4.0,1.0,1.0,1.0,minority
4.0,1.0,1.0,2.0,minority
4.0,1.0,1.0,3.0,minority
4.0,1.0,1.0,4.0,majority
4.0,1.0,1.0,5.0,majority
4.0,1.0,2.0,1.0,minority
4.0,1.0,2.0,2.0,majority
4.0,1.0,2.0,3.0,majority
4.0,1.0,2.0,4.0,majority
4.0,1.0,2.0,5.0,majority
4.0,1.0,3.0,1.0,minority
4.0,1.0,3.0,2.0,majority
4.0,1.0,3.0,3.0,majority
4.0,1.0,3.0,4.0,majority
4.0,1.0,3.0,5.0,majority
4.0,1.0,4.0,1.0,majority
4.0,1.0,4.0,2.0,majority
4.0,1.0,4.0,3.0,majority
4.0,1.0,4.0,4.0,majority
4.0,1.0,4.0,5.0,majority
4.0,1.0,5.0,1.0,majority
4.0,1.0,5.0,2.0,majority
4.0,1.0,5.0,3.0,majority
4.0,1.0,5.0,4.0,majority
4.0,1.0,5.0,5.0,majority
4.0,2.0,1.0,1.0,minority
4.0,2.0,1.0,2.0,minority
4.0,2.0,1.0,3.0,minority
4.0,2.0,1.0,4.0,minority
4.0,2.0,1.0,5.0,minority
4.0,2.0,2.0,1.0,minority
4.0,2.0,2.0,2.0,minority
4.0,2.0,2.0,3.0,minority
4.0,2.0,2.0,4.0,majority
4.0,2.0,2.0,5.0,majority
4.0,2.0,3.0,1.0,minority
4.0,2.0,3.0,2.0,minority
4.0,2.0,3.0,3.0,majority
4.0,2.0,3.0,4.0,majority
4.0,2.0,3.0,5.0,majority
4.0,2.0,4.0,1.0,minority
4.0,2.0,4.0,2.0,majority
4.0,2.0,4.0,3.0,majority
4.0,2.0,4.0,4.0,majority
4.0,2.0,4.0,5.0,majority
4.0,2.0,5.0,1.0,minority
4.0,2.0,5.0,2.0,majority
4.0,2.0,5.0,3.0,majority
4.0,2.0,5.0,4.0,majority
4.0,2.0,5.0,5.0,majority
4.0,3.0,1.0,1.0,minority
4.0,3.0,1.0,2.0,minority
4.0,3.0,1.0,3.0,minority
4.0,3.0,1.0,4.0,minority
4.0,3.0,1.0,5.0,minority
4.0,3.0,2.0,1.0,minority
4.0,3.0,2.0,2.0,minority
4.0,3.0,2.0,3.0,minority
4.0,3.0,2.0,4.0,minority
4.0,3.0,2.0,5.0,minority
4.0,3.0,3.0,1.0,minority
4.0,3.0,3.0,2.0,minority
4.0,3.0,3.0,3.0,minority
4.0,3.0,3.0,4.0,majority
4.0,3.0,3.0,5.0,majority
4.0,3.0,4.0,1.0,minority
4.0,3.0,4.0,2.0,minority
4.0,3.0,4.0,3.0,majority
4.0,3.0,4.0,4.0,majority
4.0,3.0,4.0,5.0,majority
4.0,3.0,5.0,1.0,minority
4.0,3.0,5.0,2.0,minority
4.0,3.0,5.0,3.0,majority
4.0,3.0,5.0,4.0,majority
4.0,3.0,5.0,5.0,majority
4.0,4.0,1.0,1.0,minority
4.0,4.0,1.0,2.0,minority
4.0,4.0,1.0,3.0,minority
4.0,4.0,1.0,4.0,minority
4.0,4.0,1.0,5.0,minority
4.0,4.0,2.0,1.0,minority
4.0,4.0,2.0,2.0,minority
4.0,4.0,2.0,3.0,minority
4.0,4.0,2.0,4.0,minority
4.0,4.0,2.0,5.0,minority
4.0,4.0,3.0,1.0,minority
4.0,4.0,3.0,2.0,minority
4.0,4.0,3.0,3.0,minority
4.0,4.0,3.0,4.0,minority
4.0,4.0,3.0,5.0,minority
4.0,4.0,4.0,1.0,minority
4.0,4.0,4.0,2.0,minority
4.0,4.0,4.0,3.0,minority
4.0,4.0,4.0,4.0,majority
4.0,4.0,4.0,5.0,majority
4.0,4.0,5.0,1.0,minority
4.0,4.0,5.0,2.0,minority
4.0,4.0,5.0,3.0,minority
4.0,4.0,5.0,4.0,majority
4.0,4.0,5.0,5.0,majority
4.0,5.0,1.0,1.0,minority
4.0,5.0,1.0,2.0,minority
4.0,5.0,1.0,3.0,minority
4.0,5.0,1.0,4.0,minority
4.0,5.0,1.0,5.0,minority
4.0,5.0,2.0,1.0,minority
4.0,5.0,2.0,2.0,minority
4.0,5.0,2.0,3.0,minority
4.0,5.0,2.0,4.0,minority
4.0,5.0,2.0,5.0,minority
4.0,5.0,3.0,1.0,minority
4.0,5.0,3.0,2.0,minority
4.0,5.0,3.0,3.0,minority
4.0,5.0,3.0,4.0,minority
4.0,5.0,3.0,5.0,minority
4.0,5.0,4.0,1.0,minority
4.0,5.0,4.0,2.0,minority
4.0,5.0,4.0,3.0,minority
4.0,5.0,4.0,4.0,minority
4.0,5.0,4.0,5.0,majority
4.0,5.0,5.0,1.0,minority
4.0,5.0,5.0,2.0,minority
4.0,5.0,5.0,3.0,minority
4.0,5.0,5.0,4.0,majority
4.0,5.0,5.0,5.0,majority
5.0,1.0,1.0,1.0,minority
5.0,1.0,1.0,2.0,minority
5.0,1.0,1.0,3.0,minority
5.0,1.0,1.0,4.0,minority
5.0,1.0,1.0,5.0,majority
5.0,1.0,2.0,1.0,minority
5.0,1.0,2.0,2.0,minority
5.0,1.0,2.0,3.0,majority
5.0,1.0,2.0,4.0,majority
5.0,1.0,2.0,5.0,majority
5.0,1.0,3.0,1.0,minority
5.0,1.0,3.0,2.0,majority
5.0,1.0,3.0,3.0,majority
5.0,1.0,3.0,4.0,majority
5.0,1.0,3.0,5.0,majority
5.0,1.0,4.0,1.0,minority
5.0,1.0,4.0,2.0,majority
5.0,1.0,4.0,3.0,majority
5.0,1.0,4.0,4.0,majority
5.0,1.0,4.0,5.0,majority
5.0,1.0,5.0,1.0,majority
5.0,1.0,5.0,2.0,majority
5.0,1.0,5.0,3.0,majority
5.0,1.0,5.0,4.0,majority
5.0,1.0,5.0,5.0,majority
5.0,2.0,1.0,1.0,minority
5.0,2.0,1.0,2.0,minority
5.0,2.0,1.0,3.0,minority
5.0,2.0,1.0,4.0,minority
5.0,2.0,1.0,5.0,minority
5.0,2.0,2.0,1.0,minority
5.0,2.0,2.0,2.0,minority
5.0,2.0,2.0,3.0,minority
5.0,2.0,2.0,4.0,minority
5.0,2.0,2.0,5.0,majority
5.0,2.0,3.0,1.0,minority
5.0,2.0,3.0,2.0,minority
5.0,2.0,3.0,3.0,minority
5.0,2.0,3.0,4.0,majority
5.0,2.0,3.0,5.0,majority
5.0,2.0,4.0,1.0,minority
5.0,2.0,4.0,2.0,minority
5.0,2.0,4.0,3.0,majority
5.0,2.0,4.0,4.0,majority
5.0,2.0,4.0,5.0,majority
5.0,2.0,5.0,1.0,minority
5.0,2.0,5.0,2.0,majority
5.0,2.0,5.0,3.0,majority
5.0,2.0,5.0,4.0,majority
5.0,2.0,5.0,5.0,majority
5.0,3.0,1.0,1.0,minority
5.0,3.0,1.0,2.0,minority
5.0,3.0,1.0,3.0,minority
5.0,3.0,1.0,4.0,minority
5.0,3.0,1.0,5.0,minority
5.0,3.0,2.0,1.0,minority
5.0,3.0,2.0,2.0,minority
5.0,3.0,2.0,3.0,minority
5.0,3.0,2.0,4.0,minority
5.0,3.0,2.0,5.0,minority
5.0,3.0,3.0,1.0,minority
5.0,3.0,3.0,2.0,minority
5.0,3.0,3.0,3.0,minority
5.0,3.0,3.0,4.0,minority
5.0,3.0,3.0,5.0,majority
5.0,3.0,4.0,1.0,minority
5.0,3.0,4.0,2.0,minority
5.0,3.0,4.0,3.0,minority
5.0,3.0,4.0,4.0,majority
5.0,3.0,4.0,5.0,majority
5.0,3.0,5.0,1.0,minority
5.0,3.0,5.0,2.0,minority
5.0,3.0,5.0,3.0,majority
5.0,3.0,5.0,4.0,majority
5.0,3.0,5.0,5.0,majority
5.0,4.0,1.0,1.0,minority
5.0,4.0,1.0,2.0,minority
5.0,4.0,1.0,3.0,minority
5.0,4.0,1.0,4.0,minority
5.0,4.0,1.0,5.0,minority
5.0,4.0,2.0,1.0,minority
5.0,4.0,2.0,2.0,minority
5.0,4.0,2.0,3.0,minority
5.0,4.0,2.0,4.0,minority
5.0,4.0,2.0,5.0,minority
5.0,4.0,3.0,1.0,minority
5.0,4.0,3.0,2.0,minority
5.0,4.0,3.0,3.0,minority
5.0,4.0,3.0,4.0,minority
5.0,4.0,3.0,5.0,minority
5.0,4.0,4.0,1.0,minority
5.0,4.0,4.0,2.0,minority
5.0,4.0,4.0,3.0,minority
5.0,4.0,4.0,4.0,minority
5.0,4.0,4.0,5.0,majority
5.0,4.0,5.0,1.0,minority
5.0,4.0,5.0,2.0,minority
5.0,4.0,5.0,3.0,minority
5.0,4.0,5.0,4.0,majority
5.0,4.0,5.0,5.0,majority
5.0,5.0,1.0,1.0,minority
5.0,5.0,1.0,2.0,minority
5.0,5.0,1.0,3.0,minority
5.0,5.0,1.0,4.0,minority
5.0,5.0,1.0,5.0,minority
5.0,5.0,2.0,1.0,minority
5.0,5.0,2.0,2.0,minority
5.0,5.0,2.0,3.0,minority
5.0,5.0,2.0,4.0,minority
5.0,5.0,2.0,5.0,minority
5.0,5.0,3.0,1.0,minority
5.0,5.0,3.0,2.0,minority
5.0,5.0,3.0,3.0,minority
5.0,5.0,3.0,4.0,minority
5.0,5.0,3.0,5.0,minority
5.0,5.0,4.0,1.0,minority
5.0,5.0,4.0,2.0,minority
5.0,5.0,4.0,3.0,minority
5.0,5.0,4.0,4.0,minority
5.0,5.0,4.0,5.0,minority
5.0,5.0,5.0,1.0,minority
5.0,5.0,5.0,2.0,minority
5.0,5.0,5.0,3.0,minority
5.0,5.0,5.0,4.0,minority
5.0,5.0,5.0,5.0,majority
