Title,Year,Length,Violence_time,Injuries,Fatal_injuries,Good.neutral_injuries,Good.neutral_fatalities,Bad_injuries,class
Oliver_and_Company,1988.0,4440.0,293.0,6.0,3.0,2.0,0.0,4.0,minority
All_Dogs_Go_to_Heaven,1989.0,5340.0,554.0,5.0,3.0,3.0,2.0,2.0,minority
Kikis_Delivery_Service,1989.0,6180.0,35.0,0.0,0.0,0.0,0.0,0.0,majority
The_Little_Mermaid,1989.0,4980.0,517.0,2.0,1.0,1.0,0.0,1.0,minority
Duck_Tales:_The_Movie,1990.0,4440.0,494.0,1.0,1.0,0.0,0.0,1.0,minority
Happily_Ever_After,1990.0,4440.0,1071.0,5.0,3.0,2.0,0.0,3.0,minority
Jetsons:_The_Movie,1990.0,4920.0,221.0,3.0,0.0,3.0,0.0,0.0,majority
The_Nutcracker_Prince,1990.0,4440.0,428.0,5.0,2.0,2.0,0.0,3.0,minority
The_Rescuers_Down_Under,1990.0,4620.0,673.0,1.0,1.0,0.0,0.0,1.0,minority
An_American_Tail:_Fievel_Goes_West,1991.0,4500.0,873.0,0.0,0.0,0.0,0.0,0.0,majority
Beauty_and_the_Beast,1991.0,5040.0,786.0,3.0,1.0,2.0,0.0,1.0,minority
The_Princess_and_the_Goblin,1991.0,4920.0,659.0,3.0,2.0,1.0,0.0,2.0,minority
Aladdin,1992.0,5400.0,968.0,1.0,1.0,1.0,1.0,0.0,majority
Fern_Gully:_The_Last_Rainforest,1992.0,4560.0,475.0,0.0,0.0,0.0,0.0,0.0,majority
Little_Nemo:_Adventures_in_Slumberland,1992.0,5100.0,578.0,3.0,2.0,1.0,0.0,2.0,minority
Tom_and_Jerry:_The_Movie,1992.0,5040.0,501.0,1.0,0.0,1.0,0.0,0.0,majority
My_Neighbor_Totoro,1993.0,5160.0,6.0,0.0,0.0,0.0,0.0,0.0,majority
Once_Upon_a_Forest,1993.0,4260.0,300.0,2.0,2.0,2.0,2.0,0.0,majority
Were_Back!_A_Dinosaurs_Story,1993.0,4260.0,479.0,0.0,0.0,0.0,0.0,0.0,majority
The_Lion_King,1994.0,5280.0,838.0,2.0,2.0,1.0,1.0,1.0,minority
The_Pagemaster,1994.0,4560.0,836.0,0.0,0.0,0.0,0.0,0.0,majority
The_Swan_Princess,1994.0,5400.0,788.0,9.0,2.0,8.0,1.0,1.0,minority
Thumbelina,1994.0,5160.0,410.0,1.0,0.0,1.0,0.0,0.0,majority
The_Troll_in_Central_Park,1994.0,4560.0,900.0,0.0,0.0,0.0,0.0,0.0,majority
Arabian_Knight,1995.0,4380.0,542.0,2.0,2.0,1.0,1.0,1.0,minority
Balto,1995.0,4680.0,338.0,1.0,0.0,0.0,0.0,1.0,majority
A_Goofy_Movie,1995.0,4680.0,127.0,0.0,0.0,0.0,0.0,0.0,majority
Gumby:_The_Movie,1995.0,5400.0,990.0,1.0,0.0,1.0,0.0,0.0,majority
The_Pebble_and_the_Penguin,1995.0,4440.0,1026.0,1.0,1.0,0.0,0.0,1.0,minority
Pocahontas,1995.0,4860.0,323.0,3.0,1.0,3.0,1.0,0.0,majority
Toy_Story,1995.0,4860.0,246.0,0.0,0.0,0.0,0.0,0.0,majority
All_Dogs_Go_to_Heaven_2,1996.0,4920.0,800.0,0.0,0.0,0.0,0.0,0.0,majority
The_Hunchback_of_Notre_Dame,1996.0,5400.0,1006.0,5.0,2.0,4.0,1.0,1.0,minority
Anastasia,1997.0,5640.0,630.0,3.0,2.0,1.0,0.0,2.0,minority
Babes_in_Toyland,1997.0,4440.0,704.0,3.0,1.0,2.0,0.0,1.0,minority
Cats_Dont_Dance,1997.0,4620.0,311.0,0.0,0.0,0.0,0.0,0.0,majority
Hercules,1997.0,5520.0,974.0,3.0,2.0,1.0,0.0,2.0,minority
Pippi_Longstocking,1997.0,4680.0,172.0,0.0,0.0,0.0,0.0,0.0,majority
The_Swan_Princess_2,1997.0,4320.0,932.0,3.0,2.0,1.0,0.0,2.0,minority
A_Bugs_Life,1998.0,5700.0,1098.0,3.0,1.0,2.0,0.0,1.0,minority
Mulan,1998.0,5280.0,986.0,5.0,2.0,3.0,0.0,2.0,minority
Quest_for_Camelot,1998.0,5160.0,1447.0,3.0,2.0,2.0,1.0,1.0,minority
The_Rugrats_Movie,1998.0,4860.0,492.0,0.0,0.0,0.0,0.0,0.0,majority
The_King_and_I,1999.0,5340.0,855.0,2.0,0.0,2.0,0.0,0.0,majority
