subj,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,comp,class
17.0,3.5,3.4,3.8,3.5,3.8,3.8,3.9,4.0,2.4,2.9,3.5,3.6,2.7,3.2,62.9,majority
18.0,4.1,3.8,3.5,3.0,3.2,3.0,3.2,3.3,3.1,2.4,3.4,2.5,2.4,3.2,33.9,majority
19.0,3.8,3.4,2.9,3.1,3.1,3.2,3.4,3.3,2.4,2.4,3.1,2.9,1.8,2.5,54.4,minority
20.0,3.5,3.5,3.0,4.0,3.3,3.3,4.0,3.6,3.0,3.9,3.4,2.5,1.9,2.6,29.1,minority
21.0,2.6,2.7,2.4,3.5,2.8,3.6,2.3,1.7,2.6,3.7,2.5,2.4,1.6,2.2,20.4,minority
22.0,4.9,3.2,3.5,2.8,3.4,3.8,3.0,2.6,3.0,2.3,3.3,3.2,2.5,3.3,20.0,minority
23.0,2.6,2.9,2.7,3.0,3.0,3.9,1.9,1.5,2.1,2.4,2.8,2.3,2.5,1.8,25.4,majority
24.0,2.3,2.4,1.8,4.5,2.1,2.0,3.5,3.4,3.1,4.1,2.0,1.9,2.2,1.4,15.2,minority
25.0,4.5,4.6,4.8,2.0,4.3,4.7,3.1,3.4,1.5,1.3,4.5,2.3,2.6,2.5,92.9,majority
26.0,4.4,4.1,3.5,2.9,3.3,3.6,2.5,2.5,2.4,2.4,3.0,2.3,1.5,1.6,43.0,majority
27.0,4.2,3.8,3.2,4.4,3.1,1.9,3.7,1.6,2.7,4.3,3.4,1.8,1.0,1.1,52.4,majority
28.0,3.7,3.8,4.2,3.1,3.5,3.6,3.4,2.8,2.2,1.7,3.4,1.8,1.6,2.5,59.0,majority
29.0,2.5,1.8,1.8,4.8,1.9,3.2,2.9,3.8,3.8,4.8,1.5,1.5,2.5,1.4,23.4,minority
30.0,4.1,4.2,4.4,1.8,4.3,4.9,2.2,1.7,1.3,1.8,4.0,1.9,1.2,1.8,77.3,minority
31.0,4.0,3.9,3.6,2.9,3.0,3.1,3.1,3.2,3.1,2.5,3.3,3.0,3.4,3.0,44.7,minority
32.0,3.9,3.4,3.1,3.0,3.1,3.2,3.3,3.2,2.2,2.5,3.0,2.7,2.4,2.8,45.0,minority
33.0,3.6,3.5,3.2,4.0,3.2,3.3,3.9,3.5,3.0,3.7,3.3,2.6,2.7,2.1,27.2,minority
34.0,2.6,2.7,2.5,3.5,2.9,3.6,2.5,1.8,2.6,3.7,2.4,2.8,2.2,1.7,21.5,minority
35.0,4.9,4.9,4.4,2.5,4.6,4.3,3.6,3.5,1.7,1.4,4.4,1.8,1.3,1.5,78.2,majority
36.0,3.1,3.3,3.4,2.8,3.3,3.7,3.0,2.8,3.0,2.4,3.3,3.7,3.4,2.8,68.9,minority
37.0,2.6,2.8,2.8,3.0,3.0,3.9,1.9,1.5,2.2,2.4,2.8,1.6,1.7,2.2,25.1,majority
38.0,2.3,2.3,1.9,4.5,2.1,2.1,3.6,3.5,3.2,4.1,2.0,1.7,1.5,2.2,15.8,majority
39.0,4.4,4.6,4.8,1.9,4.3,4.7,3.0,3.5,1.4,1.3,4.4,2.7,2.2,2.4,68.9,majority
40.0,4.4,3.8,3.1,4.6,3.0,2.1,3.9,1.6,2.6,4.4,3.4,1.1,0.4,0.7,37.1,majority
41.0,3.7,3.7,4.1,3.0,3.7,3.6,3.3,2.6,2.3,1.8,3.4,1.7,1.5,1.5,60.0,majority
42.0,2.5,1.8,1.7,4.8,2.1,3.2,3.0,3.6,3.7,4.8,1.6,1.8,1.8,2.0,25.7,majority
