heart_rate,sleep_state,y
165.0,3,0
157.0,3,0
171.0,3,0
164.0,3,0
172.0,4,0
163.0,4,0
166.0,4,0
170.0,4,0
166.0,4,0
162.0,4,0
145.0,4,0
140.0,4,0
152.0,4,0
125.0,4,0
141.0,4,0
163.0,4,0
143.0,2,0
141.0,2,0
153.0,2,0
142.0,2,0
142.0,2,0
143.0,2,0
149.0,2,0
140.0,1,0
154.0,1,0
138.0,1,0
144.0,1,0
147.0,1,0
143.0,1,0
138.0,1,0
140.0,1,0
141.0,1,0
144.0,1,0
148.0,1,0
158.0,1,0
161.0,1,0
125.0,1,0
138.0,1,0
114.0,1,0
126.0,1,0
134.0,1,0
132.0,1,0
143.0,1,0
106.0,1,0
141.0,1,0
143.0,1,0
128.0,1,0
117.0,1,0
127.0,1,0
130.0,1,0
126.0,1,0
129.0,1,0
117.0,1,0
139.0,1,0
126.0,1,0
138.0,1,0
128.0,1,0
142.0,1,0
146.0,1,0
107.0,1,0
126.0,1,0
152.0,1,0
131.0,1,0
127.0,1,0
129.0,1,0
126.0,1,0
131.0,1,0
128.0,1,0
130.0,1,0
132.0,1,0
141.0,1,0
135.0,1,0
153.0,1,0
161.0,1,0
151.0,1,0
140.0,1,0
148.0,4,0
157.0,4,0
131.0,4,0
148.0,4,0
152.0,4,0
177.0,4,0
164.0,4,0
180.0,4,0
174.0,4,0
153.0,4,0
175.0,4,0
161.0,4,0
