,dataset,classic_misc_rate_test_mean_median,init_easy_misc_rate_test_mean_median,init_hard_misc_rate_test_mean_median,classic_misc_rate_test_mean_std,init_easy_misc_rate_test_mean_std,init_hard_misc_rate_test_mean_std,classic_misc_rate_test_mean_total_mean,init_easy_misc_rate_test_mean_total_mean,init_hard_misc_rate_test_mean_total_mean
31,sonar,0.1488095238095238,0.145,0.1442857142857143,0.024658554536982083,0.02936708315915121,0.03149031831864204,0.15171507936507933,0.15559206349206345,0.15232619047619045
32,spambase,0.0624386662877711,0.0622177228379274,0.0633061002178649,0.01670184499791356,0.016253706996288756,0.016908234677036463,0.06777140443939246,0.06595964920589809,0.06837603012219376
33,spectfheart,0.2054131054131054,0.2168091168091168,0.2169515669515669,0.00766867809051302,0.006228829172070652,0.010380158968882983,0.20572032288698952,0.21681149097815763,0.21729629629629627
34,steel-plates-fault,0.0,0.0,0.0,0.05841892558142858,0.05712916084782638,0.05832395928782606,0.0174982994096396,0.01732013393250505,0.01752234558110846
35,sylvine,0.0798215155945419,0.0806020041423001,0.0807969359161793,0.002659898013156226,0.002874173958079364,0.0021684220676137446,0.0807822310043047,0.08137459516122478,0.08170258436890833
36,teaching_assistant_LH,0.3763636363636363,0.4063636363636363,0.3972727272727273,0.025573946277657224,0.029107692533645802,0.06394733981964618,0.38393636363636363,0.3931151515151515,0.41417878787878787
37,teaching_assistant_LM,0.3655555555555555,0.3655555555555556,0.425,0.028311132773714075,0.00976302263263317,0.0312978909496493,0.3704148148148148,0.3589222222222222,0.43401481481481485
38,teaching_assistant_MH,0.3299999999999999,0.3413636363636363,0.3490909090909091,0.05535534643109802,0.020139075082809595,0.041783975681478916,0.3383090909090909,0.34849393939393936,0.35584242424242424
39,titanic,0.2162008220786846,0.2093247210804462,0.2307339988256019,0.00254799818393381,0.003149641552194691,0.002278566793940161,0.21645834801330982,0.2093872186337835,0.23065145821100014
40,vehicle2,0.02483893557422965,0.0224929971988795,0.0295798319327731,0.023159844049827225,0.02915253150853561,0.023529720606766582,0.028704808590102663,0.029916479925303403,0.03432735760971053
41,vertebral_column,0.164516129032258,0.1806451612903225,0.1612903225806451,0.013953194473374862,0.01272580944845988,0.013929162918884217,0.1662903225806451,0.1804946236559139,0.1639892473118279
42,wdbc,0.0351817042606516,0.0298558897243107,0.0351190476190476,0.007954079323601983,0.009351754583730831,0.009022047611571367,0.037348475355054256,0.03172180451127815,0.036862155388471145
43,yeast1,0.2371666968982405,0.2250226736803918,0.2290994014148376,0.006784033466212275,0.0069722783473108625,0.010198546263714183,0.23734193421609523,0.22587656448394702,0.23196171171171168
