Dataset,CLD,DCP,F1,Hostility,LSC,N1,N2,TD_U,kDN
saheart,"a=6, s=8","a=6, s=2","a=6, s=12","a=10, s=20","a=8, s=20","a=8, s=12","a=2, s=16","a=8, s=12","a=6, s=2"
segment,"a=6, s=2","a=2, s=16","a=2, s=12","a=2, s=12","a=4, s=2","a=10, s=20","a=2, s=8","a=2, s=2","a=10, s=8"
sonar,"a=2, s=4","a=2, s=4","a=10, s=2","a=6, s=2","a=2, s=20","a=10, s=4","a=6, s=8","a=4, s=12","a=2, s=4"
spambase,"a=2, s=1","a=4, s=8","a=8, s=1","a=6, s=2","a=4, s=12","a=2, s=8","a=2, s=2","a=8, s=1","a=4, s=4"
spectfheart,"a=6, s=8","a=8, s=4","a=6, s=16","a=8, s=12","a=4, s=8","a=10, s=1","a=8, s=2","a=2, s=8","a=4, s=16"
steel-plates-fault,"a=2, s=16","a=8, s=2","a=8, s=2","a=2, s=2","a=2, s=2","a=8, s=2","a=2, s=2","a=2, s=4","a=8, s=2"
sylvine,"a=2, s=16","a=4, s=8","a=2, s=8","a=2, s=16","a=2, s=8","a=2, s=16","a=2, s=12","a=2, s=12","a=8, s=8"
teaching_assistant_LH,"a=6, s=8","a=2, s=4","a=4, s=12","a=2, s=16","a=8, s=1","a=2, s=2","a=6, s=1","a=6, s=20","a=8, s=4"
teaching_assistant_LM,"a=8, s=4","a=10, s=4","a=6, s=4","a=6, s=16","a=8, s=1","a=8, s=12","a=2, s=12","a=2, s=16","a=10, s=2"
teaching_assistant_MH,"a=6, s=4","a=6, s=2","a=6, s=8","a=10, s=4","a=4, s=8","a=2, s=1","a=8, s=12","a=10, s=4","a=8, s=2"
titanic,"a=2, s=12","a=2, s=20","a=2, s=8","a=6, s=16","a=8, s=8","a=4, s=1","a=8, s=1","a=8, s=1","a=10, s=2"
vehicle2,"a=2, s=4","a=6, s=1","a=8, s=1","a=2, s=2","a=6, s=16","a=8, s=20","a=8, s=12","a=6, s=12","a=8, s=1"
vertebral_column,"a=6, s=16","a=2, s=8","a=10, s=1","a=10, s=2","a=8, s=16","a=2, s=2","a=8, s=16","a=2, s=20","a=10, s=16"
wdbc,"a=4, s=20","a=6, s=12","a=4, s=16","a=4, s=2","a=4, s=4","a=4, s=8","a=2, s=20","a=2, s=8","a=2, s=20"
yeast1,"a=10, s=2","a=4, s=1","a=2, s=4","a=4, s=1","a=4, s=1","a=10, s=2","a=10, s=2","a=4, s=20","a=10, s=2"
