Dataset,CLD,DCP,F1,Hostility,LSC,N1,N2,TD_U,kDN
phoneme,"a=4, s=10","a=2, s=10","a=8, s=20","a=6, s=10","a=2, s=10","a=4, s=8","a=4, s=20","a=2, s=14","a=2, s=8"
pima,"a=4, s=28","a=8, s=18","a=2, s=8","a=6, s=4","a=18, s=30","a=8, s=22","a=18, s=30","a=10, s=18","a=16, s=2"
profb,"a=20, s=22","a=2, s=10","a=14, s=4","a=16, s=20","a=2, s=6","a=12, s=2","a=6, s=10","a=4, s=6","a=14, s=16"
ring,"a=2, s=2","a=6, s=10","a=18, s=2","a=4, s=1","a=14, s=1","a=2, s=2","a=14, s=1","a=6, s=1","a=4, s=1"
saheart,"a=18, s=30","a=16, s=1","a=20, s=1","a=8, s=30","a=4, s=10","a=16, s=24","a=8, s=18","a=4, s=18","a=6, s=28"
segment,"a=6, s=2","a=2, s=10","a=2, s=12","a=2, s=12","a=4, s=2","a=14, s=2","a=4, s=6","a=2, s=2","a=10, s=8"
sonar,"a=2, s=4","a=2, s=4","a=10, s=2","a=12, s=18","a=4, s=14","a=6, s=14","a=4, s=22","a=4, s=12","a=2, s=28"
spambase,"a=2, s=1","a=4, s=8","a=16, s=1","a=20, s=1","a=20, s=4","a=2, s=24","a=2, s=2","a=8, s=1","a=4, s=4"
spectfheart,"a=14, s=2","a=2, s=6","a=12, s=1","a=16, s=18","a=4, s=8","a=16, s=2","a=20, s=6","a=2, s=8","a=20, s=2"
steel-plates-fault,"a=2, s=14","a=8, s=2","a=8, s=2","a=2, s=14","a=6, s=28","a=8, s=2","a=2, s=2","a=2, s=14","a=8, s=2"
sylvine,"a=20, s=18","a=4, s=6","a=18, s=4","a=4, s=10","a=2, s=8","a=12, s=4","a=2, s=12","a=2, s=22","a=2, s=6"
teaching_assistant_LH,"a=16, s=16","a=2, s=4","a=4, s=12","a=2, s=16","a=14, s=1","a=2, s=2","a=12, s=4","a=2, s=14","a=16, s=4"
teaching_assistant_LM,"a=8, s=4","a=12, s=1","a=10, s=10","a=14, s=30","a=18, s=30","a=4, s=28","a=2, s=12","a=4, s=10","a=10, s=2"
teaching_assistant_MH,"a=2, s=6","a=20, s=14","a=18, s=26","a=10, s=4","a=6, s=6","a=2, s=1","a=8, s=12","a=16, s=2","a=14, s=4"
titanic,"a=8, s=26","a=2, s=30","a=2, s=8","a=10, s=30","a=12, s=22","a=12, s=4","a=10, s=24","a=20, s=2","a=18, s=4"
vehicle2,"a=2, s=4","a=4, s=30","a=8, s=1","a=2, s=2","a=2, s=10","a=4, s=6","a=8, s=12","a=4, s=14","a=8, s=1"
vertebral_column,"a=12, s=16","a=2, s=8","a=18, s=26","a=6, s=28","a=8, s=16","a=2, s=22","a=8, s=16","a=10, s=18","a=10, s=14"
wdbc,"a=4, s=18","a=14, s=8","a=12, s=2","a=4, s=2","a=8, s=6","a=14, s=20","a=10, s=24","a=2, s=8","a=2, s=20"
yeast1,"a=10, s=2","a=4, s=1","a=4, s=10","a=20, s=24","a=12, s=8","a=12, s=1","a=18, s=4","a=18, s=16","a=10, s=2"
