Dataset,CLD,DCP,F1,Hostility,LSC,N1,N2,TD_U,kDN
cleveland,"a=4, s=12","a=2, s=20","a=6, s=18","a=8, s=10","a=8, s=1","a=4, s=10","a=6, s=16","a=4, s=8","a=8, s=12"
contraceptive_LS,"a=4, s=12","a=10, s=18","a=6, s=18","a=2, s=1","a=6, s=1","a=10, s=18","a=6, s=8","a=8, s=8","a=4, s=1"
contraceptive_NL,"a=4, s=18","a=4, s=2","a=4, s=12","a=2, s=1","a=10, s=20","a=8, s=12","a=4, s=1","a=6, s=14","a=10, s=14"
contraceptive_NS,"a=6, s=14","a=4, s=1","a=4, s=1","a=8, s=1","a=6, s=8","a=2, s=1","a=6, s=10","a=6, s=16","a=2, s=1"
credit-g,"a=4, s=10","a=6, s=18","a=4, s=14","a=4, s=6","a=6, s=14","a=8, s=10","a=10, s=2","a=8, s=20","a=6, s=2"
diabetes,"a=4, s=6","a=10, s=14","a=6, s=16","a=2, s=10","a=8, s=18","a=2, s=2","a=2, s=20","a=10, s=12","a=8, s=20"
diabetic_retinopathy,"a=2, s=18","a=6, s=6","a=2, s=14","a=10, s=6","a=6, s=20","a=8, s=10","a=4, s=18","a=4, s=14","a=10, s=14"
fri_c0_250_50,"a=6, s=8","a=2, s=6","a=6, s=8","a=8, s=4","a=4, s=2","a=10, s=1","a=8, s=1","a=2, s=6","a=10, s=2"
glass0,"a=2, s=2","a=2, s=4","a=4, s=2","a=2, s=2","a=4, s=10","a=8, s=12","a=2, s=14","a=8, s=8","a=6, s=6"
glass1,"a=10, s=6","a=2, s=10","a=10, s=12","a=4, s=2","a=10, s=6","a=8, s=18","a=2, s=18","a=6, s=16","a=8, s=2"
hill_valley_without_noise_traintest,"a=4, s=10","a=2, s=14","a=4, s=16","a=8, s=6","a=2, s=8","a=8, s=2","a=4, s=6","a=10, s=8","a=2, s=2"
ilpd,"a=8, s=1","a=2, s=14","a=10, s=2","a=6, s=20","a=8, s=4","a=6, s=16","a=2, s=4","a=6, s=18","a=10, s=14"
ionosphere,"a=4, s=20","a=4, s=14","a=4, s=10","a=10, s=4","a=2, s=1","a=10, s=16","a=6, s=1","a=6, s=1","a=10, s=18"
liver-disorders,"a=8, s=18","a=6, s=8","a=8, s=1","a=4, s=18","a=10, s=1","a=6, s=1","a=6, s=1","a=6, s=18","a=4, s=18"
mammographic,"a=6, s=1","a=2, s=1","a=10, s=1","a=4, s=1","a=10, s=1","a=10, s=1","a=10, s=1","a=6, s=1","a=8, s=1"
musk1,"a=4, s=4","a=4, s=16","a=4, s=1","a=6, s=6","a=6, s=2","a=6, s=8","a=8, s=2","a=10, s=18","a=6, s=16"
parkinsons,"a=4, s=4","a=6, s=8","a=4, s=14","a=2, s=6","a=2, s=12","a=6, s=14","a=2, s=18","a=2, s=20","a=2, s=6"
phoneme,"a=4, s=10","a=2, s=10","a=8, s=20","a=6, s=10","a=2, s=10","a=4, s=8","a=4, s=20","a=2, s=14","a=2, s=8"
pima,"a=4, s=8","a=8, s=18","a=2, s=8","a=6, s=4","a=8, s=16","a=2, s=8","a=10, s=20","a=10, s=18","a=4, s=2"
profb,"a=6, s=18","a=2, s=10","a=2, s=12","a=10, s=2","a=2, s=6","a=6, s=20","a=6, s=10","a=4, s=6","a=2, s=2"
ring,"a=2, s=2","a=6, s=10","a=6, s=1","a=4, s=1","a=8, s=1","a=2, s=2","a=8, s=1","a=6, s=1","a=4, s=1"
saheart,"a=6, s=18","a=6, s=2","a=6, s=12","a=10, s=20","a=4, s=10","a=8, s=12","a=8, s=18","a=4, s=18","a=6, s=2"
segment,"a=6, s=2","a=2, s=10","a=2, s=12","a=2, s=12","a=4, s=2","a=10, s=20","a=4, s=6","a=2, s=2","a=10, s=8"
sonar,"a=2, s=4","a=2, s=4","a=10, s=2","a=10, s=6","a=4, s=14","a=6, s=14","a=6, s=8","a=4, s=12","a=2, s=4"
spambase,"a=2, s=1","a=4, s=8","a=8, s=1","a=6, s=2","a=6, s=10","a=2, s=8","a=2, s=2","a=8, s=1","a=4, s=4"
spectfheart,"a=6, s=8","a=2, s=6","a=6, s=16","a=8, s=12","a=4, s=8","a=6, s=10","a=6, s=6","a=2, s=8","a=4, s=16"
steel-plates-fault,"a=2, s=14","a=8, s=2","a=8, s=2","a=2, s=14","a=2, s=14","a=8, s=2","a=2, s=2","a=2, s=14","a=8, s=2"
sylvine,"a=2, s=16","a=4, s=6","a=10, s=10","a=4, s=10","a=2, s=8","a=2, s=16","a=2, s=12","a=2, s=12","a=2, s=6"
teaching_assistant_LH,"a=8, s=10","a=2, s=4","a=4, s=12","a=2, s=16","a=8, s=1","a=2, s=2","a=6, s=1","a=2, s=14","a=8, s=4"
teaching_assistant_LM,"a=8, s=4","a=10, s=4","a=10, s=10","a=8, s=18","a=8, s=1","a=8, s=12","a=2, s=12","a=4, s=10","a=10, s=2"
teaching_assistant_MH,"a=2, s=6","a=10, s=10","a=6, s=8","a=10, s=4","a=6, s=6","a=2, s=1","a=8, s=12","a=6, s=6","a=8, s=2"
titanic,"a=2, s=12","a=2, s=20","a=2, s=8","a=6, s=16","a=4, s=10","a=4, s=1","a=8, s=1","a=8, s=1","a=10, s=2"
vehicle2,"a=2, s=4","a=6, s=1","a=8, s=1","a=2, s=2","a=2, s=10","a=4, s=6","a=8, s=12","a=4, s=14","a=8, s=1"
vertebral_column,"a=6, s=16","a=2, s=8","a=10, s=1","a=10, s=2","a=8, s=16","a=8, s=6","a=8, s=16","a=10, s=18","a=10, s=14"
wdbc,"a=4, s=18","a=6, s=12","a=4, s=14","a=4, s=2","a=8, s=6","a=10, s=14","a=2, s=20","a=2, s=8","a=2, s=20"
yeast1,"a=10, s=2","a=4, s=1","a=4, s=10","a=4, s=1","a=4, s=1","a=10, s=14","a=10, s=2","a=4, s=20","a=10, s=2"
