Dataset,Standard_Bag,Grouped_Bag,Incre_Bag,CDB_Best_Host,CDB_Best_kDN,CDB_Best_CLD,CDB_Best_LSC,CDB_Best_N1,CDB_Best_N2,CDB_Best_DCP,CDB_Best_TD_U,CDB_Best_F1
sonar,0.789 (0.028),0.801 (0.023),0.809 (0.031),0.809 (0.029),0.784 (0.028),0.794 (0.034),0.79 (0.027),0.806 (0.031),0.814 (0.029),0.785 (0.03),0.801 (0.04),0.807 (0.021)
vertebral_column,0.831 (0.009),0.826 (0.009),0.83 (0.009),0.845 (0.012),0.842 (0.01),0.846 (0.013),0.844 (0.007),0.839 (0.013),0.846 (0.007),0.844 (0.009),0.84 (0.013),0.845 (0.015)
breastcancer,1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0)
saheart,0.68 (0.011),0.691 (0.011),0.694 (0.02),0.715 (0.013),0.705 (0.011),0.697 (0.011),0.698 (0.007),0.702 (0.007),0.695 (0.009),0.711 (0.007),0.688 (0.015),0.684 (0.016)
steel-plates-fault,1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.001),1.0 (0.0),0.998 (0.009),1.0 (0.0),1.0 (0.0),0.999 (0.003),1.0 (0.0),1.0 (0.0),1.0 (0.0)
fri_c0_250_50,0.738 (0.023),0.774 (0.036),0.781 (0.037),0.782 (0.037),0.772 (0.037),0.775 (0.031),0.774 (0.035),0.773 (0.035),0.79 (0.051),0.75 (0.024),0.782 (0.033),0.762 (0.023)
bands,0.729 (0.026),0.737 (0.023),0.739 (0.024),0.745 (0.02),0.731 (0.026),0.739 (0.022),0.741 (0.032),0.737 (0.024),0.727 (0.032),0.741 (0.015),0.739 (0.032),0.736 (0.033)
contraceptive_NL,0.732 (0.014),0.73 (0.007),0.737 (0.01),0.744 (0.009),0.744 (0.004),0.741 (0.007),0.739 (0.008),0.737 (0.007),0.741 (0.005),0.745 (0.007),0.734 (0.007),0.733 (0.014)
cleveland,0.557 (0.015),,,0.584 (0.011),0.583 (0.018),0.581 (0.015),0.585 (0.015),0.579 (0.013),0.583 (0.014),0.578 (0.011),0.57 (0.012),0.576 (0.02)
teaching_assistant_LM,0.651 (0.008),0.545 (0.028),0.561 (0.027),0.65 (0.026),0.666 (0.012),0.654 (0.022),0.654 (0.011),0.662 (0.021),0.64 (0.011),0.674 (0.022),0.65 (0.011),0.652 (0.011)
musk1,0.867 (0.026),0.876 (0.025),0.883 (0.031),0.878 (0.037),0.875 (0.038),0.875 (0.038),0.881 (0.035),0.877 (0.021),0.878 (0.032),0.883 (0.025),0.88 (0.041),0.879 (0.033)
diabetic_retinopathy,0.673 (0.021),0.676 (0.017),0.683 (0.016),0.7 (0.012),0.694 (0.01),0.691 (0.018),0.691 (0.016),0.689 (0.015),0.685 (0.018),0.676 (0.015),0.675 (0.027),0.68 (0.016)
WineQualityRed_5vs6,0.783 (0.019),0.783 (0.021),0.782 (0.026),0.796 (0.025),0.799 (0.021),0.798 (0.026),0.797 (0.026),0.797 (0.022),0.795 (0.033),0.795 (0.03),0.794 (0.026),0.798 (0.027)
vehicle2,0.971 (0.005),0.975 (0.006),0.977 (0.006),0.975 (0.008),0.977 (0.01),0.977 (0.015),0.979 (0.012),0.974 (0.005),0.98 (0.011),0.977 (0.01),0.974 (0.02),0.98 (0.006)
contraceptive_NS,0.643 (0.007),0.648 (0.013),0.659 (0.017),0.66 (0.005),0.66 (0.004),0.661 (0.007),0.655 (0.008),0.657 (0.005),0.653 (0.004),0.662 (0.008),0.655 (0.009),0.66 (0.009)
spectfheart,0.8 (0.024),0.808 (0.019),0.808 (0.028),0.81 (0.011),0.808 (0.021),0.818 (0.012),0.805 (0.017),0.81 (0.02),0.814 (0.01),0.808 (0.011),0.81 (0.021),0.809 (0.01)
parkinsons,0.901 (0.018),0.903 (0.019),0.904 (0.02),0.898 (0.015),0.9 (0.022),0.898 (0.026),0.897 (0.024),0.908 (0.014),0.899 (0.022),0.903 (0.02),0.901 (0.028),0.902 (0.02)
spambase,0.943 (0.007),0.946 (0.007),0.946 (0.008),0.946 (0.01),0.944 (0.009),0.947 (0.009),0.943 (0.01),0.944 (0.009),0.946 (0.01),0.946 (0.012),0.949 (0.009),0.946 (0.019)
mammographic,0.783 (0.004),0.796 (0.006),0.805 (0.007),0.804 (0.003),0.803 (0.003),0.804 (0.004),0.81 (0.004),0.807 (0.003),0.808 (0.003),0.81 (0.006),0.797 (0.004),0.798 (0.011)
diabetes,0.75 (0.015),0.758 (0.011),0.759 (0.011),0.763 (0.012),0.763 (0.01),0.768 (0.015),0.764 (0.009),0.764 (0.013),0.768 (0.008),0.761 (0.013),0.762 (0.017),0.761 (0.021)
sylvine,0.944 (0.009),0.943 (0.009),0.943 (0.012),0.942 (0.009),0.943 (0.008),0.943 (0.008),0.943 (0.008),0.943 (0.008),0.943 (0.008),0.943 (0.006),0.943 (0.012),0.943 (0.01)
yeast1,0.765 (0.018),0.766 (0.009),0.768 (0.012),0.778 (0.014),0.78 (0.009),0.779 (0.013),0.774 (0.013),0.775 (0.008),0.774 (0.01),0.78 (0.009),0.768 (0.016),0.771 (0.017)
glass0,0.867 (0.024),0.856 (0.017),0.86 (0.013),0.875 (0.029),0.869 (0.016),0.873 (0.03),0.874 (0.027),0.871 (0.02),0.876 (0.017),0.872 (0.019),0.871 (0.026),0.873 (0.029)
hill_valley_without_noise_traintest,0.64 (0.017),0.622 (0.014),0.617 (0.015),0.632 (0.023),0.636 (0.017),0.635 (0.023),0.631 (0.021),0.632 (0.022),0.634 (0.019),0.64 (0.02),0.635 (0.024),0.633 (0.015)
banknote_authentication,0.989 (0.002),0.99 (0.002),0.991 (0.003),0.989 (0.003),0.989 (0.003),0.99 (0.013),0.989 (0.012),0.989 (0.002),0.99 (0.007),0.991 (0.009),0.992 (0.007),0.991 (0.009)
phoneme,0.907 (0.014),0.912 (0.014),0.912 (0.014),0.906 (0.017),0.906 (0.015),0.906 (0.028),0.906 (0.019),0.906 (0.014),0.905 (0.016),0.904 (0.018),0.907 (0.016),0.908 (0.013)
teaching_assistant_LH,0.673 (0.014),0.711 (0.021),0.696 (0.022),0.679 (0.019),0.683 (0.017),0.681 (0.019),0.683 (0.014),0.689 (0.011),0.682 (0.043),0.678 (0.012),0.69 (0.014),0.68 (0.019)
chatfield_4,0.897 (0.011),0.895 (0.006),0.893 (0.012),0.9 (0.002),0.907 (0.009),0.897 (0.015),0.9 (0.01),0.906 (0.004),0.901 (0.009),0.902 (0.008),0.907 (0.011),0.903 (0.008)
analcatdata_authorship,0.966 (0.012),,,0.969 (0.014),0.969 (0.01),0.969 (0.027),0.971 (0.014),0.97 (0.013),0.967 (0.015),0.968 (0.02),0.97 (0.011),0.972 (0.015)
wdbc,0.957 (0.011),0.962 (0.011),0.961 (0.01),0.96 (0.009),0.962 (0.007),0.96 (0.012),0.961 (0.01),0.962 (0.008),0.96 (0.008),0.96 (0.008),0.963 (0.011),0.959 (0.009)
Yeast_CYTvsNUC,0.686 (0.016),0.676 (0.022),0.676 (0.019),0.69 (0.015),0.687 (0.019),0.69 (0.022),0.688 (0.011),0.682 (0.021),0.687 (0.02),0.685 (0.012),0.685 (0.019),0.686 (0.017)
ring,0.939 (0.018),0.943 (0.013),0.943 (0.014),0.941 (0.023),0.947 (0.025),0.94 (0.025),0.948 (0.02),0.942 (0.018),0.945 (0.016),0.942 (0.02),0.942 (0.036),0.942 (0.027)
titanic,0.786 (0.011),0.801 (0.009),0.805 (0.006),0.797 (0.007),0.799 (0.004),0.797 (0.01),0.793 (0.008),0.797 (0.004),0.8 (0.006),0.802 (0.006),0.794 (0.014),0.794 (0.019)
teaching_assistant_MH,0.719 (0.016),0.708 (0.019),0.712 (0.034),0.736 (0.02),0.718 (0.014),0.721 (0.009),0.713 (0.016),0.723 (0.016),0.718 (0.019),0.731 (0.028),0.731 (0.022),0.738 (0.005)
pima,0.756 (0.016),0.756 (0.013),0.758 (0.011),0.764 (0.006),0.761 (0.007),0.763 (0.011),0.761 (0.01),0.763 (0.007),0.764 (0.013),0.77 (0.013),0.764 (0.018),0.765 (0.014)
contraceptive_LS,0.616 (0.005),0.615 (0.011),0.622 (0.017),0.63 (0.006),0.626 (0.006),0.627 (0.007),0.63 (0.007),0.635 (0.006),0.631 (0.005),0.634 (0.009),0.623 (0.011),0.621 (0.015)
profb,0.652 (0.023),0.658 (0.011),0.663 (0.007),0.678 (0.014),0.673 (0.013),0.681 (0.007),0.674 (0.024),0.674 (0.013),0.669 (0.013),0.678 (0.005),0.659 (0.023),0.672 (0.019)
