ACTION,CONDITIONAL,CONTINUANCE,IMPERATIVE,OPTION,RISK_LEVEL,SOURCE,WEAK_PHRASE,class
1.0,0.0,1.0,1.0,0,2.0,2.0,0.0,majority
2.0,0.0,1.0,1.0,0,2.0,2.0,0.0,majority
4.0,0.0,1.0,1.0,0,2.0,2.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
2.0,0.0,0.0,0.0,0,1.0,2.0,0.0,majority
3.0,0.0,1.0,1.0,0,2.0,2.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,2.0,2.0,0,2.0,2.0,0.0,majority
2.0,0.0,1.0,0.0,0,2.0,3.0,0.0,majority
2.0,0.0,1.0,0.0,0,2.0,3.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
2.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,1.0,1.0,0,2.0,2.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,3.0,3.0,0,3.0,11.0,0.0,majority
4.0,0.0,1.0,1.0,0,2.0,2.0,0.0,majority
4.0,0.0,2.0,2.0,0,3.0,2.0,0.0,majority
1.0,0.0,2.0,0.0,0,3.0,11.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,2.0,0.0,majority
1.0,0.0,1.0,0.0,0,1.0,2.0,0.0,majority
2.0,0.0,0.0,0.0,0,1.0,2.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,3.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,2.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
2.0,0.0,2.0,2.0,0,2.0,2.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,2.0,0.0,majority
1.0,1.0,0.0,5.0,0,3.0,1.0,0.0,majority
4.0,1.0,1.0,0.0,0,2.0,2.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,1.0,0.0,0.0,0,1.0,2.0,0.0,majority
2.0,0.0,1.0,0.0,0,2.0,5.0,0.0,majority
2.0,0.0,1.0,1.0,0,2.0,1.0,0.0,majority
1.0,1.0,0.0,1.0,0,1.0,1.0,0.0,majority
2.0,0.0,1.0,0.0,0,1.0,1.0,0.0,majority
2.0,1.0,1.0,0.0,0,2.0,3.0,0.0,majority
1.0,0.0,0.0,2.0,0,2.0,2.0,0.0,majority
3.0,0.0,1.0,0.0,0,2.0,3.0,0.0,majority
3.0,0.0,1.0,1.0,0,2.0,2.0,0.0,majority
4.0,0.0,1.0,0.0,0,2.0,2.0,0.0,majority
3.0,0.0,1.0,0.0,0,2.0,2.0,0.0,majority
3.0,0.0,1.0,0.0,0,2.0,2.0,0.0,majority
2.0,1.0,1.0,0.0,0,2.0,2.0,0.0,majority
4.0,1.0,1.0,0.0,0,2.0,3.0,0.0,majority
2.0,0.0,1.0,0.0,0,2.0,3.0,0.0,majority
3.0,1.0,1.0,0.0,0,2.0,2.0,0.0,majority
2.0,0.0,1.0,0.0,0,2.0,3.0,0.0,majority
2.0,0.0,1.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,1.0,1.0,0,2.0,3.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,3.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,3.0,0.0,majority
1.0,0.0,1.0,1.0,0,2.0,2.0,0.0,majority
1.0,0.0,1.0,1.0,0,2.0,2.0,0.0,majority
1.0,0.0,1.0,1.0,0,2.0,2.0,0.0,majority
4.0,1.0,1.0,1.0,0,3.0,3.0,0.0,majority
3.0,1.0,3.0,3.0,0,3.0,4.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
3.0,1.0,1.0,0.0,0,2.0,2.0,0.0,majority
1.0,0.0,1.0,1.0,0,2.0,2.0,0.0,majority
1.0,0.0,2.0,2.0,0,3.0,11.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
2.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,3.0,3.0,0,3.0,11.0,0.0,majority
3.0,0.0,2.0,2.0,0,3.0,3.0,0.0,majority
4.0,1.0,2.0,2.0,0,3.0,2.0,0.0,majority
1.0,1.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,2.0,0.0,majority
1.0,1.0,0.0,0.0,0,1.0,2.0,0.0,majority
2.0,0.0,1.0,1.0,0,2.0,1.0,0.0,majority
2.0,0.0,1.0,0.0,0,2.0,3.0,0.0,majority
2.0,0.0,1.0,0.0,0,2.0,3.0,0.0,majority
2.0,0.0,1.0,0.0,0,2.0,3.0,0.0,majority
4.0,1.0,1.0,0.0,0,2.0,2.0,0.0,majority
2.0,0.0,1.0,0.0,0,1.0,2.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,1.0,1.0,0,2.0,2.0,0.0,majority
2.0,1.0,1.0,0.0,0,2.0,3.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
2.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
2.0,0.0,1.0,1.0,0,2.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,1.0,1.0,1.0,0,2.0,2.0,0.0,majority
1.0,1.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,1.0,1.0,0,2.0,3.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
3.0,1.0,2.0,2.0,0,3.0,2.0,0.0,majority
3.0,1.0,1.0,1.0,0,2.0,1.0,0.0,majority
3.0,1.0,1.0,1.0,0,2.0,3.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,2.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,2.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,1.0,1.0,0,2.0,2.0,0.0,majority
2.0,0.0,1.0,1.0,0,2.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
2.0,1.0,0.0,2.0,0,2.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
4.0,1.0,0.0,2.0,0,3.0,4.0,0.0,majority
1.0,0.0,0.0,1.0,0,2.0,3.0,0.0,majority
1.0,0.0,0.0,1.0,0,2.0,3.0,0.0,majority
3.0,1.0,3.0,3.0,0,3.0,5.0,0.0,majority
3.0,1.0,3.0,3.0,0,3.0,3.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
4.0,0.0,2.0,2.0,0,3.0,4.0,0.0,majority
1.0,0.0,3.0,3.0,0,3.0,23.0,0.0,majority
2.0,0.0,1.0,1.0,0,2.0,3.0,0.0,majority
3.0,0.0,1.0,1.0,0,2.0,1.0,0.0,majority
3.0,0.0,3.0,3.0,0,3.0,2.0,0.0,majority
2.0,0.0,2.0,0.0,0,2.0,2.0,0.0,majority
1.0,0.0,2.0,0.0,0,3.0,9.0,0.0,majority
2.0,0.0,1.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
